,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,label
33,300.82,300.84,300.85,300.87,300.88,300.9,300.92,300.93,300.94,300.96,300.98,300.99,1817100000.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,0.07874,0.19685,0.21654,0.23622,0.55118,0.19685,0.03937,0.0,0.0,0.0,0.0,0.0,13.856,12.461,9.3722,8.6556,11.222,10.933,12.833,12.211,14.778,15.456,14.156,17.767,-28.0,-43.0,-78.0,-47.0,-55.0,-49.0,-39.0,-49.0,-40.0,-22.0,-26.0,-18.0,86.742,LL
34,300.84,300.85,300.87,300.88,300.9,300.92,300.93,300.94,300.96,300.98,300.99,301.0,1818100000.0,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,0.19685,0.21654,0.23622,0.55118,0.19685,0.03937,0.0,0.0,0.0,0.0,0.0,0.0,12.461,9.3722,8.6556,11.222,10.933,12.833,12.211,14.778,15.456,14.156,17.767,16.828,-43.0,-78.0,-47.0,-55.0,-49.0,-39.0,-49.0,-40.0,-22.0,-26.0,-18.0,-35.0,19.73,VLL
35,300.85,300.87,300.88,300.9,300.92,300.93,300.94,300.96,300.98,300.99,301.0,301.02,1819000000.0,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,0.21654,0.23622,0.55118,0.19685,0.03937,0.0,0.0,0.0,0.0,0.0,0.0,0.11811,9.3722,8.6556,11.222,10.933,12.833,12.211,14.778,15.456,14.156,17.767,16.828,14.817,-78.0,-47.0,-55.0,-49.0,-39.0,-49.0,-40.0,-22.0,-26.0,-18.0,-35.0,-28.0,65.806,LL
36,300.87,300.88,300.9,300.92,300.93,300.94,300.96,300.98,300.99,301.0,301.02,301.04,1820000000.0,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,1831200000.0,0.23622,0.55118,0.19685,0.03937,0.0,0.0,0.0,0.0,0.0,0.0,0.11811,0.07874,8.6556,11.222,10.933,12.833,12.211,14.778,15.456,14.156,17.767,16.828,14.817,12.544,-47.0,-55.0,-49.0,-39.0,-49.0,-40.0,-22.0,-26.0,-18.0,-35.0,-28.0,-70.0,60.097,LL
37,300.88,300.9,300.92,300.93,300.94,300.96,300.98,300.99,301.0,301.02,301.04,301.05,1821000000.0,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,1831200000.0,1832200000.0,0.55118,0.19685,0.03937,0.0,0.0,0.0,0.0,0.0,0.0,0.11811,0.07874,0.11811,11.222,10.933,12.833,12.211,14.778,15.456,14.156,17.767,16.828,14.817,12.544,11.472,-55.0,-49.0,-39.0,-49.0,-40.0,-22.0,-26.0,-18.0,-35.0,-28.0,-70.0,-43.0,92.24,LL
38,300.9,300.92,300.93,300.94,300.96,300.98,300.99,301.0,301.02,301.04,301.05,301.06,1822000000.0,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,1831200000.0,1832200000.0,1833300000.0,0.19685,0.03937,0.0,0.0,0.0,0.0,0.0,0.0,0.11811,0.07874,0.11811,0.82677,10.933,12.833,12.211,14.778,15.456,14.156,17.767,16.828,14.817,12.544,11.472,11.044,-49.0,-39.0,-49.0,-40.0,-22.0,-26.0,-18.0,-35.0,-28.0,-70.0,-43.0,-32.0,-8.6774,VLL
39,300.92,300.93,300.94,300.96,300.98,300.99,301.0,301.02,301.04,301.05,301.06,301.08,1823000000.0,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,1831200000.0,1832200000.0,1833300000.0,1834400000.0,0.03937,0.0,0.0,0.0,0.0,0.0,0.0,0.11811,0.07874,0.11811,0.82677,0.35433,12.833,12.211,14.778,15.456,14.156,17.767,16.828,14.817,12.544,11.472,11.044,12.706,-39.0,-49.0,-40.0,-22.0,-26.0,-18.0,-35.0,-28.0,-70.0,-43.0,-32.0,-21.0,0.66344,VLL
40,300.93,300.94,300.96,300.98,300.99,301.0,301.02,301.04,301.05,301.06,301.08,301.1,1824000000.0,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,1831200000.0,1832200000.0,1833300000.0,1834400000.0,1835500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11811,0.07874,0.11811,0.82677,0.35433,0.07874,12.211,14.778,15.456,14.156,17.767,16.828,14.817,12.544,11.472,11.044,12.706,14.028,-49.0,-40.0,-22.0,-26.0,-18.0,-35.0,-28.0,-70.0,-43.0,-32.0,-21.0,-39.0,6.5806,VLL
41,300.94,300.96,300.98,300.99,301.0,301.02,301.04,301.05,301.06,301.08,301.1,301.11,1825100000.0,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,1831200000.0,1832200000.0,1833300000.0,1834400000.0,1835500000.0,1836600000.0,0.0,0.0,0.0,0.0,0.0,0.11811,0.07874,0.11811,0.82677,0.35433,0.07874,0.0,14.778,15.456,14.156,17.767,16.828,14.817,12.544,11.472,11.044,12.706,14.028,12.6,-40.0,-22.0,-26.0,-18.0,-35.0,-28.0,-70.0,-43.0,-32.0,-21.0,-39.0,-37.0,27.03,VLL
42,300.96,300.98,300.99,301.0,301.02,301.04,301.05,301.06,301.08,301.1,301.11,301.13,1826100000.0,1827100000.0,1828100000.0,1829100000.0,1830200000.0,1831200000.0,1832200000.0,1833300000.0,1834400000.0,1835500000.0,1836600000.0,1837700000.0,0.0,0.0,0.0,0.0,0.11811,0.07874,0.11811,0.82677,0.35433,0.07874,0.0,0.0,15.456,14.156,17.767,16.828,14.817,12.544,11.472,11.044,12.706,14.028,12.6,15.139,-22.0,-26.0,-18.0,-35.0,-28.0,-70.0,-43.0,-32.0,-21.0,-39.0,-37.0,-28.0,115.81,ML
